"","directorio","p6050","fex_c","ingtot","ocu","p6210s1","p6210","maxEducLevel","p6426","age","sex","estrato1","formal","informal","clase","oficio","sizeFirm","p7040","hoursWorkUsual","relab","cuentaPropia","microEmpresa","college","mean_ingtot","ingtot_boxcox","age_2","nuevo_pred","residuos","prediccion1","prediccion1_boxcox","female","log_income","predict_gender","femalenum","res_y","res_f","maxEducLevel_years","p6210_years","exp_pot_maxedu","exp_pot_p6210","exp_pot_p6210_2","dos_trabajo"
"745","4526836","1",242.60582494906,1019806.66666667,"1","8","4","5",276,55,"0","2","1","0","1","53","5","2",40,"1","0","0","0",1267648.88888889,17.7717043067641,3025,1901780.10793876,-881973.441272088,1901780.10793877,17.9934764830747,"1",13.8351236248114,1683561.79994605,1,-0.226349147983216,0.638409848063459,10,9,40,41,1681,0
"746","4526836","3",242.60582494906,983140,"1","1","6","7",1,36,"1","2","1","0","1","39","5","2",40,"1","0","0","0",1267648.88888889,17.7124771238084,1296,1622754.64846103,-639614.648461028,1622754.64846104,18.0423001624256,"0",13.7985068101481,1057253.13784402,0,-0.44342433109313,-0.531247045338952,15,19,16,12,144,0
"747","4526836","9",242.60582494906,1800000,"1","1","6","7",1,56,"1","2","1","0","1","93","3","2",48,"1","0","0","0",1267648.88888889,18.7004553166052,3136,1902304.8149754,-102304.814975401,1902304.81497541,17.9694015861954,"0",14.4032972228664,1361176.35247874,0,0.198779276116705,-0.516679817635942,15,19,36,32,1024,0
"748","4526837","3",182.992419365714,853357,"1","0","6","7",8,20,"0","3","1","0","1","39","5","2",48,"1","0","0","0",1225171.33333333,17.484192651258,400,991282.223538613,-137925.223538613,991282.223538622,17.4812684125132,"1",13.656933261778,1617646.66717874,1,-0.406725722889178,0.537709447305761,15,19,0,0,0,0
"749","4526837","2",182.992419365714,821157,"1","11","5","6",3,43,"0","3","1","0","1","53","4","2",48,"1","0","0","1",1225171.33333333,17.422364843946,1849,1785029.044494,-963872.044493999,1785029.04449401,18.1146344551748,"1",13.6184696003595,1542281.31397581,1,-0.460353937505941,0.522231943211565,11,13,27,25,625,0
"750","4526837","1",182.992419365714,2001000,"1","11","5","6",300,50,"1","3","1","0","1","92","5","2",48,"1","0","0","1",1225171.33333333,18.875536271913,2500,1877915.30756226,123084.692437736,1877915.30756228,18.0815931231535,"0",14.5091576135659,1185116.09201668,0,0.125295158815882,-0.397041046714884,11,13,34,32,1024,0
"751","4526839","1",250.444709462943,2996666.33333333,"1","5","6","7",396,52,"0","3","1","0","1","12","5","2",48,"2","0","0","0",2996666.33333333,19.5494194723818,2704,1891709.48075152,1104956.85258181,1891709.48075153,18.0527980359855,"1",14.913011006545,1685584.14092843,1,0.127346703767229,0.547192398870867,15,19,32,28,784,0
"752","4526840","2",180.915339198149,850000,"1","6","4","5",160,50,"0","2","0","1","1","58","2","2",40,"1","0","1","0",1011333.33333333,17.4778529278812,2500,1877915.30756226,-1027915.30756226,1877915.30756228,18.0815931231535,"1",13.6529916284665,1654937.15034586,1,0.179913536830969,0.527286617427845,10,9,35,36,1296,0
"753","4526840","1",180.915339198149,1300000,"1","5","3","4",324,56,"1","2","1","0","1","95","4","2",48,"1","0","0","0",1011333.33333333,18.1662655970313,3136,1902304.8149754,-602304.814975401,1902304.81497541,17.9694015861954,"0",14.0778748224318,2083323.68450076,0,-0.0390079021075198,-0.313800912902804,5,5,46,46,2116,0
"754","4526840","3",180.915339198149,884000,"1","4","6","7",8,21,"0","2","1","0","1","3","5","2",48,"1","0","0","0",1011333.33333333,17.5409742707076,441,1041369.8826929,-157369.882692902,1041369.88269291,17.5324618190415,"1",13.6922123416198,1681066.9479419,1,-0.289156668965537,0.5506679578735,15,19,1,0,0,0
